Name,INITIAL_LABEL,FINAL_LABEL
#20YearsHuaweiEurope,1,0
#50cent,1,1
#5G,1,0
#5GGearUp,1,0
#5g,-1,0
#90hz,0,0
#AI,1,0
#Alibaba,0,0
#AsiaPacific,1,1
#BSNL,1,1
#Baidu,0,0
#BoycottChina,0,0
#BoycottChineseProduct,1,0
#BoycottChineseProducts,0,0
#BoycottingChineseProducts,1,1
#CCP,1,0
#CSIS,0,0
#CampusOptiX,0,0
#Canada,0,0
#China,1,1
#ChinaEngineering,0,0
#Chinese,1,1
#CloudCampus,1,1
#DYK,0,0
#DigitalTransformation,1,1
#EcosystemPartners,1,1
#Europe,1,0
#GSMAThrive,1,1
#Gallery,0,0
#GalwanValley,0,0
#GenderGap,1,1
#HERStory,1,1
#HUAWEI,1,1
#HUAWEIMatePadPro,0,0
#Healthcare,1,1
#HindiCheeniByeBye,0,0
#Huawei,1,0
#HuaweiAppGallery,1,1
#HuaweiP30series,0,0
#HuaweiP40Pro,1,1
#HuaweiP40ProPlus,1,0
#HuaweiP40Series,1,1
#HuaweiY9Prime2019,0,0
#Huawie,0,0
#IT,0,0
#India,1,0
#IndiaChinaFaceOff,0,0
#Indian,1,1
#MoonJaeIn,0,1
#News,1,0
#Oil,0,0
#Samsung,1,0
#SouthKoreaElectionFraud,0,1
#TECH4ALL,1,0
#Tencent,0,0
#TheUAETRA,0,0
#TrustInTech,0,0
#UAE,1,1
#US,0,0
#UyghurHumanRightsPolicyAct,0,0
#Xiaomi,0,0
#ZTE,0,0
#android,1,0
#apple,0,0
#applelover,0,0
#applestore,0,0
#applesupport,0,0
#applewatch,0,0
#beyondthespeed,0,0
#boombust,0,0
#cloud,0,0
#confident,1,1
#device,0,0
#economicsnews,0,0
#empower,1,1
#huawei,1,0
#huaweiP30pro,0,0
#huaweip30,0,0
#huaweip30lite,0,0
#huaweiphotography,0,0
#ldnont,-1,-1
#neversettle,0,0
#oneplus,0,0
#oneplus8tpro,0,0
#oppo,1,0
#rstats,0,0
#sabmilega8,0,0
#smartphone,1,0
#smoothos,0,0
#tech,1,0
#tidyverse,0,0
#women,1,1
#wp,0,0
#wumao,1,1
